port_name,measure,mes_label,tot_value,mes,value,delta
Dalton Cache,Trucks,Jan 2026,73,2026-01,62,11
Walhalla,Trucks,Feb 2026,226,2026-02,215,11
Madawaska,Truck Containers Empty,Feb 2026,885,2026-02,874,11
Grand Portage,Truck Containers Empty,Jan 2026,228,2026-01,217,11
Nogales,Truck Containers Empty,Feb 2026,8510,2026-02,8499,11
Douglas,Trucks,Feb 2026,2107,2026-02,2096,11
Sarles,Trucks,Jan 2026,159,2026-01,148,11
Derby Line,Truck Containers Empty,Feb 2026,722,2026-02,711,11
Turner,Trucks,Jan 2026,42,2026-01,31,11
Del Bonita,Trucks,Feb 2026,66,2026-02,56,10
Ogdensburg,Trucks,Feb 2026,2023,2026-02,2013,10
Oroville,Trucks,Feb 2026,1785,2026-02,1775,10
Neche,Truck Containers Empty,Jan 2026,72,2026-01,62,10
Sherwood,Truck Containers Empty,Feb 2026,150,2026-02,140,10
Point Roberts,Truck Containers Empty,Feb 2026,254,2026-02,244,10
Port Angeles,Trucks,Feb 2026,10,2026-02,0,10
Rio Grande City,Truck Containers Empty,Feb 2026,201,2026-02,191,10
Del Rio,Truck Containers Empty,Jan 2026,2682,2026-01,2672,10
Grand Portage,Trucks,Feb 2026,713,2026-02,703,10
Grand Portage,Trucks,Jan 2026,739,2026-01,729,10
Fortuna,Trucks,Jan 2026,227,2026-01,217,10
Presidio,Truck Containers Empty,Jan 2026,258,2026-01,248,10
Roma,Trucks,Jan 2026,4265,2026-01,4255,10
Blaine,Truck Containers Empty,Feb 2026,6650,2026-02,6660,-10
Calais,Trucks,Feb 2026,3210,2026-02,3200,10
Richford,Trucks,Jan 2026,315,2026-01,305,10
Frontier,Truck Containers Empty,Feb 2026,1515,2026-02,1505,10
Hansboro,Trucks,Feb 2026,38,2026-02,28,10
Naco,Truck Containers Empty,Jan 2026,103,2026-01,93,10
Limestone,Truck Containers Empty,Feb 2026,66,2026-02,56,10
Calais,Truck Containers Empty,Jan 2026,834,2026-01,824,10
Morgan,Trucks,Feb 2026,9,2026-02,0,9
Roma,Trucks,Feb 2026,4258,2026-02,4249,9
Massena,Trucks,Jan 2026,1248,2026-01,1239,9
Detroit,Truck Containers Empty,Feb 2026,13983,2026-02,13992,-9
International Falls,Truck Containers Empty,Jan 2026,195,2026-01,186,9
Baudette,Truck Containers Empty,Jan 2026,284,2026-01,275,9
Northgate,Truck Containers Empty,Feb 2026,149,2026-02,140,9
Scobey,Trucks,Feb 2026,9,2026-02,0,9
Danville,Trucks,Jan 2026,9,2026-01,0,9
Morgan,Trucks,Jan 2026,9,2026-01,0,9
Santa Teresa,Truck Containers Empty,Jan 2026,6900,2026-01,6909,-9
Sherwood,Trucks,Feb 2026,287,2026-02,278,9
Sumas,Trucks,Feb 2026,9218,2026-02,9209,9
Skagway,Trucks,Jan 2026,163,2026-01,155,8
Whitlash,Truck Containers Empty,Feb 2026,8,2026-02,0,8
Sherwood,Truck Containers Empty,Jan 2026,158,2026-01,150,8
Tornillo,Trucks,Feb 2026,2530,2026-02,2522,8
Whitlash,Trucks,Feb 2026,8,2026-02,0,8
Roosville,Trucks,Feb 2026,662,2026-02,654,8
Piegan,Trucks,Feb 2026,148,2026-02,140,8
Ogdensburg,Truck Containers Empty,Jan 2026,254,2026-01,246,8
El Paso,Trucks,Jan 2026,14489,2026-01,14481,8
Sarles,Trucks,Feb 2026,119,2026-02,112,7
Roseau,Trucks,Feb 2026,147,2026-02,140,7
Scobey,Truck Containers Empty,Feb 2026,7,2026-02,0,7
Sarles,Truck Containers Empty,Feb 2026,7,2026-02,0,7
Northgate,Trucks,Feb 2026,175,2026-02,168,7
Eastport,Trucks,Feb 2026,3600,2026-02,3607,-7
Kenneth G Ward,Trucks,Feb 2026,2050,2026-02,2043,7
Fortuna,Truck Containers Empty,Feb 2026,147,2026-02,140,7
Fortuna,Trucks,Feb 2026,175,2026-02,168,7
Pembina,Truck Containers Empty,Jan 2026,2602,2026-01,2595,7
Fort Kent,Trucks,Jan 2026,193,2026-01,186,7
Kenneth G Ward,Truck Containers Empty,Feb 2026,1905,2026-02,1898,7
Roseau,Truck Containers Empty,Feb 2026,63,2026-02,56,7
St John,Truck Containers Empty,Jan 2026,7,2026-01,0,7
Sarles,Truck Containers Empty,Jan 2026,7,2026-01,0,7
Jackman,Trucks,Jan 2026,6097,2026-01,6104,-7
Jackman,Truck Containers Empty,Jan 2026,3132,2026-01,3125,7
Del Rio,Truck Containers Empty,Feb 2026,2763,2026-02,2756,7
Rio Grande City,Truck Containers Empty,Jan 2026,158,2026-01,151,7
St John,Trucks,Jan 2026,7,2026-01,0,7
Boundary,Truck Containers Empty,Feb 2026,6,2026-02,0,6
Maida,Trucks,Feb 2026,6,2026-02,0,6
Carbury,Truck Containers Empty,Jan 2026,6,2026-01,0,6
Walhalla,Truck Containers Empty,Feb 2026,143,2026-02,137,6
Eagle Pass,Truck Containers Empty,Jan 2026,24586,2026-01,24580,6
Bridgewater,Truck Containers Empty,Feb 2026,202,2026-02,196,6
St John,Truck Containers Empty,Feb 2026,6,2026-02,0,6
St John,Trucks,Feb 2026,6,2026-02,0,6
Douglas,Trucks,Jan 2026,2071,2026-01,2065,6
Ferry,Trucks,Jan 2026,6,2026-01,0,6
Warroad,Truck Containers Empty,Feb 2026,117,2026-02,112,5
Opheim,Truck Containers Empty,Jan 2026,5,2026-01,0,5
Opheim,Trucks,Jan 2026,5,2026-01,0,5
